Clicks;Cost;Conversions;Device;Place;BannerType;QueryType (search only);TargetingType;Shows
1188;24128,97798;5;Mobile;Search;text;Brand;Phrase;2751
38;1855,093907;0;Mobile;Search;text;Competitor;Phrase;798
2653;71147,36095;19;Mobile;Search;text;Other;Phrase;12027
1298;19384,63231;0;Desktop;Networks;text;none;Phrase;691808
1083;31539,03577;0;Desktop;Networks;text;none;Retargeting;723003
43721;2022696,797;3;Desktop;Search;text;Brand;Phrase;276128
541;18374,12293;0;Desktop;Search;text;Competitor;Phrase;20384
2368;97560,14636;0;Desktop;Search;text;Other;Phrase;79481
9859;41875,29008;0;Mobile;Networks;text;none;Phrase;526471
2679;24181,55667;0;Mobile;Networks;text;none;Retargeting;310884
86232;2304489,358;3;Mobile;Search;text;Brand;Phrase;587313
1477;75886,45604;0;Mobile;Search;text;Competitor;Phrase;54768
4764;194575,6144;0;Mobile;Search;text;Other;Phrase;156486
8046;391363,8002;293;Desktop;Networks;text;none;Phrase;8251600
1213;32398,66731;37;Desktop;Networks;text;none;Retargeting;625723
19443;988250,2633;2379;Desktop;Search;text;Brand;Phrase;48206
2626;202279,4094;89;Desktop;Search;text;Competitor;Phrase;34214
4233;474072,2762;264;Desktop;Search;text;Other;Phrase;51035
43046;1016791,716;277;Mobile;Networks;text;none;Phrase;8943914
12606;235423,8078;246;Mobile;Networks;text;none;Retargeting;2095076
36082;1177107,849;3670;Mobile;Search;text;Brand;Phrase;84842
3397;230119,081;129;Mobile;Search;text;Competitor;Phrase;33595
5763;661524,4066;426;Mobile;Search;text;Other;Phrase;82200
0;0;0;Desktop;Networks;cpm_banner;none;Phrase;0
0;0;0;Desktop;Networks;cpm_banner;none;Retargeting;0
0;0;0;Desktop;Networks;cpm_banner;none;Retargeting;0
0;0;0;Mobile;Networks;cpm_banner;none;Retargeting;0
0;0;9;Desktop;Networks;cpm_banner;none;Retargeting;0
0;0;3;Mobile;Networks;cpm_banner;none;Retargeting;0
0;0;0;Desktop;Networks;cpc_video;none;Retargeting;0
42;847,6442288;0;Desktop;Networks;image_ad;none;Phrase;31723
1620;11152,22227;2;Mobile;Networks;image_ad;none;Phrase;163118
0;0;0;Mobile;Networks;image_ad;none;Phrase;0
3;23,65210169;0;Desktop;Networks;image_ad;none;Phrase;6075
294;1697,089347;0;Mobile;Networks;image_ad;none;Phrase;30433
256;10553,59299;0;Desktop;Networks;image_ad;none;Phrase;314410
205;7668,956542;0;Desktop;Networks;image_ad;none;Retargeting;140419
1382;25417,10011;0;Mobile;Networks;image_ad;none;Phrase;147869
1103;20061,51577;0;Mobile;Networks;image_ad;none;Retargeting;84846
147;4731,142042;4;Desktop;Networks;image_ad;none;Phrase;145341
246;5299,684983;6;Desktop;Networks;image_ad;none;Retargeting;116844
3668;40416,8117;4;Mobile;Networks;image_ad;none;Phrase;273749
4966;63510,67469;47;Mobile;Networks;image_ad;none;Retargeting;402020
17;3374,17561;0;Desktop;Search;mcbanner;Competitor;Phrase;4956
0;0;0;Desktop;Search;mcbanner;Other;Phrase;0
0;0;0;Mobile;Search;mcbanner;Competitor;Phrase;47
233;71935,40758;42;Desktop;Search;mcbanner;Brand;Phrase;44718
127;18454,73631;7;Desktop;Search;mcbanner;Competitor;Phrase;15611
52;8050,599407;2;Desktop;Search;mcbanner;Other;Phrase;14645
2;788,5058136;0;Mobile;Search;mcbanner;Brand;Phrase;585
2;489,0842797;0;Mobile;Search;mcbanner;Competitor;Phrase;159
1;89,16640678;0;Mobile;Search;mcbanner;Other;Phrase;87
4207;84766,11447;28;Desktop;Networks;text;none;Phrase;3834643
0;0;0;Desktop;Networks;text;none;Retargeting;0
8162;390212,2928;398;Desktop;Search;text;Brand;Phrase;83733
93;8252,000441;2;Desktop;Search;text;Competitor;Phrase;6957
12;607,5445169;0;Desktop;Search;text;Other;Phrase;159
9526;131716,1953;49;Mobile;Networks;text;none;Phrase;1135216
12188;337440,1839;603;Mobile;Search;text;Brand;Phrase;59820
155;11947,50829;1;Mobile;Search;text;Competitor;Phrase;15463
6;190,5346017;1;Mobile;Search;text;Other;Phrase;149
12051;230194,2534;90;Desktop;Networks;text;none;Phrase;23618390
1164;23159,39118;18;Desktop;Networks;text;none;Retargeting;761250
15373;465968,7327;1130;Desktop;Search;text;Brand;Phrase;48455
623;52243,74491;18;Desktop;Search;text;Competitor;Phrase;25476
519;60321,55508;23;Desktop;Search;text;Other;Phrase;7158
94248;1008128,21;276;Mobile;Networks;text;none;Phrase;18291010
1170;15018,76958;13;Mobile;Networks;text;none;Retargeting;156377
24198;428798,2624;1784;Mobile;Search;text;Brand;Phrase;73681
1541;116883,7602;48;Mobile;Search;text;Competitor;Phrase;72628
817;107239,4188;52;Mobile;Search;text;Other;Phrase;10832
236;2396,807695;0;Desktop;Networks;text;none;Phrase;370772
4673;404272,0149;2;Desktop;Search;text;Brand;Phrase;75717
76;8248,71961;0;Desktop;Search;text;Competitor;Phrase;3618
3417;207621,9732;3;Desktop;Search;text;Other;Phrase;36936
1337;8874,469068;0;Mobile;Networks;text;none;Phrase;205856
4893;336510,8935;4;Mobile;Search;text;Brand;Phrase;43903
76;5416,379771;0;Mobile;Search;text;Competitor;Phrase;3203
3229;134813,8158;7;Mobile;Search;text;Other;Phrase;24768
1172;47442,53011;0;Desktop;Networks;text;none;Phrase;673131
1874;62335,89692;0;Desktop;Networks;text;none;Retargeting;763125
41132;1947423,987;4;Desktop;Search;text;Brand;Phrase;247680
452;19348,72416;0;Desktop;Search;text;Competitor;Phrase;14783
2500;144207,0129;1;Desktop;Search;text;Other;Phrase;70319
3260;65789,02464;0;Mobile;Networks;text;none;Phrase;568512
4189;79890,40622;0;Mobile;Networks;text;none;Retargeting;443064
83257;2533401,286;5;Mobile;Search;text;Brand;Phrase;534128
904;42663,06214;0;Mobile;Search;text;Competitor;Phrase;42226
4338;209990,2253;0;Mobile;Search;text;Other;Phrase;167943
9206;300473,3184;116;Desktop;Networks;text;none;Phrase;5897869
1751;47127,16053;27;Desktop;Networks;text;none;Retargeting;809472
16902;1145618,924;1510;Desktop;Search;text;Brand;Phrase;45427
2354;228052,5771;93;Desktop;Search;text;Competitor;Phrase;28385
3865;558898,2964;206;Desktop;Search;text;Other;Phrase;52657
41697;816993,3535;163;Mobile;Networks;text;none;Phrase;9296842
15674;298076,4987;255;Mobile;Networks;text;none;Retargeting;2293584
29363;1157138,038;2558;Mobile;Search;text;Brand;Phrase;79453
3675;264392,2354;152;Mobile;Search;text;Competitor;Phrase;37740
5540;707760,6407;310;Mobile;Search;text;Other;Phrase;90996
0;0;0;Mobile;Networks;cpm_banner;none;Phrase;0
0;0;0;Mobile;Networks;cpm_banner;none;Retargeting;0
0;0;2;Desktop;Networks;cpm_banner;none;Retargeting;0
0;0;1;Mobile;Networks;cpm_banner;none;Retargeting;0
0;0;0;Desktop;Networks;cpc_video;none;Retargeting;0
0;0;0;Desktop;Networks;image_ad;none;Phrase;0
4;55,12848305;0;Desktop;Networks;image_ad;none;Retargeting;2165
0;0;7;Mobile;Networks;image_ad;none;Phrase;0
36;267,8148814;0;Mobile;Networks;image_ad;none;Retargeting;5142
1;11,74469492;0;Desktop;Networks;image_ad;none;Phrase;2113
62;637,4913051;0;Mobile;Networks;image_ad;none;Phrase;3048
7;65,39379661;0;Desktop;Networks;image_ad;none;Phrase;10798
523;3521,548525;0;Mobile;Networks;image_ad;none;Phrase;59536
5;246,727678;0;Desktop;Networks;image_ad;none;Retargeting;4211
24;443,3913559;0;Mobile;Networks;image_ad;none;Retargeting;2088
134;6288,863542;0;Desktop;Networks;image_ad;none;Phrase;98154
433;12009,29776;10;Desktop;Networks;image_ad;none;Retargeting;225988
1789;24610,93088;6;Mobile;Networks;image_ad;none;Phrase;181913
6654;109799,9186;91;Mobile;Networks;image_ad;none;Retargeting;713809
0;0;0;Desktop;Search;mcbanner;Competitor;Phrase;75
234;86809,82769;43;Desktop;Search;mcbanner;Brand;Phrase;40908
202;55644,12224;20;Desktop;Search;mcbanner;Competitor;Phrase;47611
102;23484,26553;5;Desktop;Search;mcbanner;Other;Phrase;27469
3;1091,691483;0;Mobile;Search;mcbanner;Brand;Phrase;486
0;0;0;Mobile;Search;mcbanner;Competitor;Phrase;267
1;436,461;0;Mobile;Search;mcbanner;Other;Phrase;149
0;0;1;Desktop;Networks;text;none;Phrase;0
45;570,3665339;0;Desktop;Networks;text;none;Retargeting;63328
8882;448399,0739;348;Desktop;Search;text;Brand;Phrase;86130
24;1867,645398;0;Desktop;Search;text;Competitor;Phrase;1124
327;25454,16747;13;Desktop;Search;text;Other;Phrase;7175
0;0;3;Mobile;Networks;text;none;Phrase;0
64;588,0655678;0;Mobile;Networks;text;none;Retargeting;14912
12908;418484,6724;565;Mobile;Search;text;Brand;Phrase;65061
26;1593,844322;1;Mobile;Search;text;Competitor;Phrase;886
258;19391,57281;11;Mobile;Search;text;Other;Phrase;6647
10309;175169,409;63;Desktop;Networks;text;none;Phrase;13472640
4075;61372,29374;19;Desktop;Networks;text;none;Retargeting;2177410
15344;468873,3648;1069;Desktop;Search;text;Brand;Phrase;46880
173;21681,91482;9;Desktop;Search;text;Competitor;Phrase;4973
671;94862,36113;41;Desktop;Search;text;Other;Phrase;9324
77712;717534,6963;219;Mobile;Networks;text;none;Phrase;13513279
18311;167690,5032;61;Mobile;Networks;text;none;Retargeting;2422480
24761;435610,2486;1954;Mobile;Search;text;Brand;Phrase;72605
269;38059,419;18;Mobile;Search;text;Competitor;Phrase;6377
885;140651,5634;64;Mobile;Search;text;Other;Phrase;15169
379;3647,577254;0;Desktop;Networks;text;none;Phrase;285366
879;31059,50494;3;Desktop;Search;text;Brand;Phrase;2677
61;3238,987703;0;Desktop;Search;text;Competitor;Phrase;4703
2203;90165,13353;2;Desktop;Search;text;Other;Phrase;32399
3337;18655,1072;1;Mobile;Networks;text;none;Phrase;569363
1074;23472,29069;1;Mobile;Search;text;Brand;Phrase;2811
67;3504,845975;0;Mobile;Search;text;Competitor;Phrase;5900
2344;73831,51935;3;Mobile;Search;text;Other;Phrase;27966
637;15920,77513;0;Desktop;Networks;text;none;Phrase;373121
107;5040,532017;0;Desktop;Networks;text;none;Retargeting;37058
36488;1610365,274;3;Desktop;Search;text;Brand;Phrase;219167
407;13620,91091;0;Desktop;Search;text;Competitor;Phrase;11571
2172;99542,13692;0;Desktop;Search;text;Other;Phrase;65930
1992;23098,85169;0;Mobile;Networks;text;none;Phrase;253344
166;3160,746661;0;Mobile;Networks;text;none;Retargeting;14606
74620;2227386,432;1;Mobile;Search;text;Brand;Phrase;492231
864;34336,49387;0;Mobile;Search;text;Competitor;Phrase;29011
3872;192513,286;0;Mobile;Search;text;Other;Phrase;156115
6421;185813,6958;71;Desktop;Networks;text;none;Phrase;2987986
2405;70476,36346;49;Desktop;Networks;text;none;Retargeting;1116539
15691;1016977,406;1623;Desktop;Search;text;Brand;Phrase;40572
2663;223255,5978;108;Desktop;Search;text;Competitor;Phrase;23411
4455;529142,1828;251;Desktop;Search;text;Other;Phrase;75018
26439;449135,3053;113;Mobile;Networks;text;none;Phrase;5289622
21075;400872,2679;358;Mobile;Networks;text;none;Retargeting;2901347
29782;1047188,627;3088;Mobile;Search;text;Brand;Phrase;75277
5005;328982,276;202;Mobile;Search;text;Competitor;Phrase;41804
6952;820953,2288;440;Mobile;Search;text;Other;Phrase;121525
0;0;0;Mobile;Networks;cpm_banner;none;Retargeting;0
0;0;0;Desktop;Networks;cpm_banner;none;Retargeting;0
73;7468,732424;0;Desktop;Networks;cpm_banner;none;Retargeting;314453
0;0;0;Mobile;Networks;cpm_banner;none;Phrase;0
590;13562,28313;0;Mobile;Networks;cpm_banner;none;Retargeting;242708
0;0;1;Mobile;Networks;image_ad;none;Phrase;0
0;0;0;Mobile;Networks;image_ad;none;Retargeting;3
0;0;0;Mobile;Networks;image_ad;none;Phrase;0
138;1934,358534;0;Desktop;Networks;image_ad;none;Phrase;39484
818;8701,515025;0;Mobile;Networks;image_ad;none;Phrase;74975
309;12367,78378;0;Desktop;Networks;image_ad;none;Phrase;258818
0;0;0;Desktop;Networks;image_ad;none;Retargeting;18
943;15449,27019;0;Mobile;Networks;image_ad;none;Phrase;112667
0;0;0;Mobile;Networks;image_ad;none;Retargeting;8
76;2376,104212;0;Desktop;Networks;image_ad;none;Phrase;50953
1108;22664,67595;12;Desktop;Networks;image_ad;none;Retargeting;402701
1477;16568,07473;1;Mobile;Networks;image_ad;none;Phrase;121869
8270;100672,3902;82;Mobile;Networks;image_ad;none;Retargeting;624785
544;147780,5688;114;Desktop;Search;mcbanner;Brand;Phrase;97123
876;170016,6575;82;Desktop;Search;mcbanner;Competitor;Phrase;294603
791;117038,0753;66;Desktop;Search;mcbanner;Other;Phrase;256107
2;478,2018051;0;Mobile;Search;mcbanner;Brand;Phrase;877
4;1187,718483;0;Mobile;Search;mcbanner;Competitor;Phrase;1348
2;297,6891102;0;Mobile;Search;mcbanner;Other;Phrase;1338
0;0;0;Desktop;Networks;text;none;Retargeting;2
11623;428737,5179;426;Desktop;Search;text;Brand;Phrase;80759
229;22949,01702;14;Desktop;Search;text;Competitor;Phrase;9470
1120;81610,56328;41;Desktop;Search;text;Other;Phrase;38067
0;0;2;Mobile;Networks;text;none;Phrase;0
0;0;0;Mobile;Networks;text;none;Retargeting;11
13841;378810,7861;590;Mobile;Search;text;Brand;Phrase;70546
256;24677,89485;5;Mobile;Search;text;Competitor;Phrase;11403
1078;78273,42287;38;Mobile;Search;text;Other;Phrase;34140
417;4657,638992;17;Desktop;Networks;text;none;Phrase;872641
411;5461,902178;1;Desktop;Networks;text;none;Retargeting;282132
14944;417796,9423;1075;Desktop;Search;text;Brand;Phrase;44376
173;18877,51536;6;Desktop;Search;text;Competitor;Phrase;3707
1122;101726,7954;50;Desktop;Search;text;Other;Phrase;15021
7489;70498,54037;73;Mobile;Networks;text;none;Phrase;875488
3523;29685,00567;12;Mobile;Networks;text;none;Retargeting;401005
25553;424217,4507;2038;Mobile;Search;text;Brand;Phrase;72028
263;31939,6559;10;Mobile;Search;text;Competitor;Phrase;5216
1632;184791,4023;82;Mobile;Search;text;Other;Phrase;24961
434;4878,077517;0;Desktop;Networks;text;none;Phrase;508041
20245;1366739,624;2;Desktop;Search;text;Brand;Phrase;199812
222;33640,69355;0;Desktop;Search;text;Competitor;Phrase;10337
7207;636363,956;1;Desktop;Search;text;Other;Phrase;92985
2443;17997,49642;0;Mobile;Networks;text;none;Phrase;398760
17646;980680,2847;3;Mobile;Search;text;Brand;Phrase;118423
432;92913,12488;0;Mobile;Search;text;Competitor;Phrase;13063
6221;776683,2188;1;Mobile;Search;text;Other;Phrase;66912
880;6387,790093;0;Desktop;Networks;text;none;Phrase;168232
5;108,5381186;0;Desktop;Networks;text;none;Retargeting;807
38330;1678265,749;8;Desktop;Search;text;Brand;Phrase;239708
578;15970,20964;0;Desktop;Search;text;Competitor;Phrase;10834
1813;49693,3276;0;Desktop;Search;text;Other;Phrase;35131
4582;17585,08497;0;Mobile;Networks;text;none;Phrase;269806
7;76,91608475;0;Mobile;Networks;text;none;Retargeting;686
88789;2510759,101;2;Mobile;Search;text;Brand;Phrase;577653
1976;46705,44908;0;Mobile;Search;text;Competitor;Phrase;30150
6694;160576,3823;0;Mobile;Search;text;Other;Phrase;103001
15342;452305,0918;101;Desktop;Networks;text;none;Phrase;7044539
4954;126563,3107;64;Desktop;Networks;text;none;Retargeting;2404027
16543;855220,398;1685;Desktop;Search;text;Brand;Phrase;44657
3218;229860,7033;111;Desktop;Search;text;Competitor;Phrase;29153
8711;538365,9503;275;Desktop;Search;text;Other;Phrase;200198
43232;613579,3264;191;Mobile;Networks;text;none;Phrase;12140309
37392;587874,9448;446;Mobile;Networks;text;none;Retargeting;4848271
33992;1011924,939;3243;Mobile;Search;text;Brand;Phrase;86686
6632;422528,6451;243;Mobile;Search;text;Competitor;Phrase;60744
10461;937382,2724;522;Mobile;Search;text;Other;Phrase;306666
0;0;0;Desktop;Networks;cpm_banner;none;Retargeting;0
559;115678,7926;1;Desktop;Networks;cpm_banner;none;Retargeting;1339709
1844;76257,71497;0;Mobile;Networks;cpm_banner;none;Retargeting;861624
0;0;0;Mobile;Networks;image_ad;none;Phrase;0
0;0;0;Mobile;Networks;image_ad;none;Phrase;0
540;11588,89345;0;Desktop;Networks;image_ad;none;Phrase;707432
9815;93576,10014;0;Mobile;Networks;image_ad;none;Phrase;1446958
8;87,85599153;0;Desktop;Networks;image_ad;none;Phrase;11406
269;1448,078568;0;Mobile;Networks;image_ad;none;Phrase;38780
433;13818,39483;0;Desktop;Networks;image_ad;none;Phrase;450094
2000;26238,71527;0;Mobile;Networks;image_ad;none;Phrase;337855
0;0;0;Desktop;Networks;image_ad;none;Phrase;0
992;21195,18864;18;Desktop;Networks;image_ad;none;Retargeting;458295
0;0;0;Mobile;Networks;image_ad;none;Phrase;0
9265;99408,27107;137;Mobile;Networks;image_ad;none;Retargeting;649552
394;102753,398;88;Desktop;Search;mcbanner;Brand;Phrase;88290
706;91032,02672;80;Desktop;Search;mcbanner;Competitor;Phrase;277351
807;108070,3084;64;Desktop;Search;mcbanner;Other;Phrase;300229
0;0;0;Mobile;Search;mcbanner;Brand;Phrase;847
5;496,4661864;1;Mobile;Search;mcbanner;Competitor;Phrase;1566
4;489,0976271;0;Mobile;Search;mcbanner;Other;Phrase;2385
9342;329810,0731;371;Desktop;Search;text;Brand;Phrase;58726
60;4279,474271;4;Desktop;Search;text;Competitor;Phrase;2359
461;28139,98505;17;Desktop;Search;text;Other;Phrase;13773
0;0;0;Mobile;Networks;text;none;Phrase;0
0;0;0;Mobile;Networks;text;none;Retargeting;0
10292;211722,0136;495;Mobile;Search;text;Brand;Phrase;52553
76;4674,951127;3;Mobile;Search;text;Competitor;Phrase;2550
499;29743,64868;9;Mobile;Search;text;Other;Phrase;12180
44;485,7456864;2;Desktop;Networks;text;none;Phrase;47595
0;0;1;Desktop;Networks;text;none;Retargeting;0
11784;346932,6091;934;Desktop;Search;text;Brand;Phrase;34640
35;3008,389627;3;Desktop;Search;text;Competitor;Phrase;572
348;17678,45908;12;Desktop;Search;text;Other;Phrase;4510
258;2072,580941;11;Mobile;Networks;text;none;Phrase;31551
0;0;0;Mobile;Networks;text;none;Retargeting;0
19742;315732,5994;1774;Mobile;Search;text;Brand;Phrase;56558
67;5098,528881;1;Mobile;Search;text;Competitor;Phrase;990
532;33089,90489;14;Mobile;Search;text;Other;Phrase;7210
16518;414299,7726;32;Desktop;Networks;text;none;Phrase;15636744
3280;87302,2217;92;Desktop;Search;text;Brand;Phrase;18245
194;23565,48295;3;Desktop;Search;text;Competitor;Phrase;10752
1600;107807,9342;30;Desktop;Search;text;Other;Phrase;32063
43110;558423,0347;66;Mobile;Networks;text;none;Phrase;6509229
6043;132423,5921;193;Mobile;Search;text;Brand;Phrase;22708
266;34767,70342;2;Mobile;Search;text;Competitor;Phrase;12207
1717;125072,8676;38;Mobile;Search;text;Other;Phrase;36983
599;6559,070492;0;Desktop;Networks;text;none;Phrase;768186
749;24285,98319;0;Desktop;Search;text;Brand;Phrase;2503
88;7112,651288;0;Desktop;Search;text;Competitor;Phrase;4505
2417;115932,784;1;Desktop;Search;text;Other;Phrase;39001
2538;15397,50397;0;Mobile;Networks;text;none;Phrase;438897
952;23249,92503;3;Mobile;Search;text;Brand;Phrase;2640
103;7509,4785;1;Mobile;Search;text;Competitor;Phrase;4266
2596;97703,67831;3;Mobile;Search;text;Other;Phrase;27756
0;0;0;Desktop;Networks;text;none;Phrase;1
0;0;0;Desktop;Networks;text;none;Retargeting;2
37226;1632456,493;176;Desktop;Search;text;Brand;Phrase;225302
20;1329,816381;0;Desktop;Search;text;Competitor;Phrase;428
128;5332,360271;0;Desktop;Search;text;Other;Phrase;7432
0;0;0;Mobile;Networks;text;none;Phrase;0
0;0;0;Mobile;Networks;text;none;Retargeting;1
86642;2290884,43;306;Mobile;Search;text;Brand;Phrase;586859
52;2272,242305;0;Mobile;Search;text;Competitor;Phrase;1011
581;25130,99939;0;Mobile;Search;text;Other;Phrase;15195
8653;197663,9942;58;Desktop;Networks;text;none;Phrase;3296044
3955;80799,63308;62;Desktop;Networks;text;none;Retargeting;2216046
14637;753228,5684;1513;Desktop;Search;text;Brand;Phrase;40686
2931;197381,3652;91;Desktop;Search;text;Competitor;Phrase;29561
3533;335330,8658;232;Desktop;Search;text;Other;Phrase;57776
39251;312943,7024;84;Mobile;Networks;text;none;Phrase;6691950
27561;431477,5179;537;Mobile;Networks;text;none;Retargeting;3717947
30886;849221,0321;3063;Mobile;Search;text;Brand;Phrase;82310
6642;428671,1564;201;Mobile;Search;text;Competitor;Phrase;70512
6919;577006,3477;431;Mobile;Search;text;Other;Phrase;129892
0;0;0;Desktop;Networks;cpm_banner;none;Retargeting;0
0;0;0;Mobile;Networks;cpm_banner;none;Retargeting;0
0;0;1;Desktop;Networks;cpm_banner;none;Retargeting;0
0;0;0;Mobile;Networks;cpm_banner;none;Retargeting;0
0;0;0;Desktop;Networks;image_ad;none;Retargeting;0
0;0;0;Mobile;Networks;image_ad;none;Phrase;0
0;0;0;Desktop;Networks;image_ad;none;Phrase;13
0;0;1;Desktop;Networks;image_ad;none;Phrase;0
594;16569,18745;20;Desktop;Networks;image_ad;none;Retargeting;312097
0;0;0;Mobile;Networks;image_ad;none;Phrase;0
